trialnr	left_ang	right_ang	cue_dir	targ	targ_ang	resp_ang	perc_diff	resp_onset	resp_duration	iti	iti_onset	stim_onset	delay_onset	cue_onset	postcue_onset	probe_onset	prac
0	28	144	0	0	28	28	100.0	299.885987621	2949.04397335	1714	38066.3714505	39915.744617	40982.0802919	42048.3801914	42598.2207266	43647.8809181	1
1	67	66	-1	1	66	107	54.0	716.418251834	1332.91204273	1602	49595.9527951	51245.4049023	52311.7347124	53361.3773094	53911.2116865	54977.5294737	1
2	48	153	-1	1	153	154	99.0	283.24422695	2282.59000468	1590	59825.9413939	61475.4210658	62525.0885883	63574.7262002	64141.2222784	65207.5342008	1
3	148	3	1	1	3	13	89.0	316.564989989	3615.50116769	1634	70489.1697037	72171.9434536	73221.6077505	74287.9094094	74854.4087133	75887.3986996	1
0	49	27	0	0	49	34	83.0	249.898831608	1882.72853207	1402	101962.297033	103411.79641	104461.46452	105511.098026	106060.942667	107110.604618	0
1	37	135	1	1	135	143	91.0	249.904109959	1766.11715124	1574	112258.929504	113891.723135	114941.390365	115974.368915	116524.196254	117607.190111	0
2	135	129	-1	1	129	130	99.0	299.891852454	1466.1930422	1674	122505.600037	124255.02587	125304.686941	126370.995638	126920.834413	127970.4905	0
3	120	34	1	1	34	39	94.0	216.587159063	1899.39433856	1514	132535.67696	134101.828186	135151.475475	136201.134494	136750.961833	137800.621438	0
4	118	106	1	1	106	90	82.0	0	0	1274	142732.365909	144081.921472	145131.583423	146181.223674	146731.060397	147797.396072	0
5	9	10	-1	0	9	90	10.0	0	0	1650	154911.742454	156594.522655	157644.180794	158693.829549	159260.332665	160309.984646	0
6	1	55	0	0	1	90	1.0	0	0	1690	167407.685455	169140.448414	170190.095409	171239.749149	171772.934141	172822.571167	0
7	88	18	0	0	88	90	98.0	0	0	1246	179936.916376	181236.516746	182286.191013	183369.144696	183935.641067	184985.304778	0
8	42	147	-1	0	42	90	47.0	0	0	1710	192083.009985	193849.086669	194915.410615	195981.709341	196548.223307	197614.485672	0
9	78	157	1	1	157	90	26.0	0	0	1646	204712.211113	206411.674129	207461.335493	208510.976331	209060.81276	210110.474711	0
10	100	138	-1	0	100	54	49.0	649.776432515	1232.93919692	1314	337038.293556	338981.003215	340034.946202	341084.583227	341651.065816	342700.738617	0
11	7	63	1	1	63	90	70.0	0	0	1478	347499.181269	349015.349444	350065.012275	351114.634932	351664.495994	352717.478907	0
