trialnr	timestamp	angle	event	targ_ang	cue_dir
0	0.0	90	0	91	102939.015157
0	99.9710861124	90	0	91	102981.240869
0	133.299180147	90	0	91	103014.712066
0	166.610559258	90	0	91	103047.743397
0	199.92956272	90	0	91	103081.031317
0	233.267040573	90	0	91	103114.654708
0	266.594548119	90	0	91	103147.936762
0	299.904167764	90	0	91	103180.958416
0	333.224344203	90	0	91	103214.451607
0	383.213406191	90	0	91	103264.846519
0	416.530356943	90	0	91	103297.908054
0	449.843202275	90	0	91	103331.103895
0	499.828745331	90	0	91	103381.275061
0	533.172674558	90	0	91	103414.516355
0	566.490798287	90	0	91	103447.777589
0	616.476634587	90	0	91	103497.881603
0	649.785081255	90	0	91	103531.102956
0	683.121679375	90	0	91	103564.484421
0	716.453292342	90	0	91	103597.796386
0	749.758513321	90	0	91	103631.164068
0	783.090419533	90	0	91	103664.503599
0	816.420566278	90	0	91	103697.825242
0	849.702327715	90	0	91	103731.258904
0	883.06590431	90	0	91	103764.440669
0	933.03942435	90	0	91	103814.415948
0	966.35285617	90	0	91	103847.67337
0	999.711447612	90	0	91	103881.215533
1	0.0	90	0	40	111323.648452
1	99.9587698516	89	0	40	111405.716974
1	183.274459653	88	0	40	111445.628109
1	216.623374034	88	0	40	111478.962361
1	249.903669248	88	0	40	111511.979616
1	299.859301386	88	0	40	111561.749625
1	333.185342712	88	0	40	111594.917021
1	366.514023235	88	0	40	111628.377661
1	399.842703759	88	0	40	111661.652091
1	433.175782947	88	0	40	111694.848226
1	466.488041791	88	0	40	111728.539649
1	499.805285787	88	0	40	111761.665991
1	533.154493412	88	0	40	111795.246862
1	566.457368437	88	0	40	111828.481997
1	616.453761532	88	0	40	111878.531468
1	649.766020375	88	0	40	111911.730534
1	683.089129258	88	0	40	111945.059801
1	716.409305697	88	0	40	111978.411941
1	749.773762025	89	0	40	112012.123306
1	783.081622204	90	0	40	112045.368412
1	816.38860265	91	0	40	112078.970689
1	849.737223786	92	0	40	112112.071226
1	883.061505645	93	0	40	112145.423366
1	916.36701987	94	0	40	112178.679028
1	966.349043994	95	0	40	112228.698588
1	999.665994746	96	0	40	112261.958356
1	1032.97796034	97	0	40	112294.930158
1	1066.30400167	97	0	40	112328.215438
1	1099.61274158	96	0	40	112361.551157
1	1132.97309249	95	0	40	112395.307974
1	1166.27215534	94	0	40	112428.426398
1	1199.6248819	93	0	40	112461.962696
1	1232.94447185	92	0	40	112495.418644
1	1282.90098372	91	0	40	112559.930337
1	1332.874797	90	0	40	112594.888869
1	1366.21901947	89	0	40	112628.536306
1	1399.52160125	88	0	40	112661.864694
1	1449.5203403	87	0	40	112736.006236
1	1516.18385948	86	0	40	112802.943645
1	1582.81922721	85	0	40	112844.976989
1	1632.83321496	84	0	40	112906.998158
1	1682.80702824	83	0	40	112945.128714
1	1716.13981419	82	0	40	112990.003888
1	1766.07257327	81	0	40	113028.350859
1	1799.41151735	80	0	40	113062.01589
1	1832.73550596	79	0	40	113100.981019
1	1882.73688421	78	0	40	113145.450931
1	1916.03946599	77	0	40	113178.190777
1	1949.37723709	76	0	40	113211.685727
1	1982.70327841	75	0	40	113245.055168
1	2016.00410073	74	0	40	113278.363615
1	2049.33483396	73	0	40	113311.635992
1	2082.66674017	72	0	40	113344.952357
1	2115.9954207	71	0	40	113378.290421
1	2149.29800248	70	0	40	113411.329376
1	2182.61788567	70	0	40	113444.70087
1	2215.93190398	70	0	40	113477.925156
1	2249.28287107	70	0	40	113511.566435
1	2282.57988121	70	0	40	113544.590728
1	2332.57656755	70	0	40	113594.609114
1	2365.90436834	70	0	40	113627.940141
1	2399.22571776	70	0	40	113661.307236
1	2432.53973607	70	0	40	113694.587825
1	2482.53524943	69	0	40	113745.01646
1	2515.89354763	68	0	40	113778.266258
1	2549.17296311	67	0	40	113811.573238
1	2582.53360726	66	0	40	113844.925671
1	2615.83824175	66	0	40	113878.076353
1	2649.19243453	66	0	40	113911.367205
1	2682.46950406	66	0	40	113944.737819
1	2715.79642512	66	0	40	113977.84422
1	2749.11278938	66	0	40	114011.213075
1	2782.4288604	66	0	40	114044.453489
1	2815.78129371	66	0	40	114077.821465
1	2849.10117691	66	0	40	114111.190613
1	2882.40962357	66	0	40	114144.4105
1	2932.43915327	66	0	40	114194.516273
1	2965.71446334	66	0	40	114227.738213
1	2999.02378974	66	0	40	114261.087127
1	3032.36097435	66	0	40	114294.399386
1	3065.69405353	66	0	40	114327.762962
1	3098.9872515	66	0	40	114361.24413
1	3132.32766179	66	0	40	114394.375164
1	3165.64871797	66	0	40	114427.736394
1	3198.9794512	66	0	40	114460.985019
1	3232.29992088	66	0	40	114494.279684
1	3265.63329332	66	0	40	114527.708947
1	3298.95200353	66	0	40	114560.992468
1	3332.28215028	66	0	40	114594.318802
1	3365.56567118	66	0	40	114627.367728
1	3398.93452617	66	0	40	114661.036278
1	3432.25118368	66	0	40	114694.298392
1	3465.55699115	66	0	40	114727.591004
1	3515.51555573	66	0	40	114777.448693
1	3548.87092148	66	0	40	114811.144515
2	0.0	90	0	175	122487.201646
2	83.3564507589	90	0	175	122525.427213
2	116.655806853	90	0	175	122558.505756
2	149.967185963	90	0	175	122591.861708
2	199.936307339	90	0	175	122641.585971
2	233.261762176	90	0	175	122675.067432
2	266.577246706	90	0	175	122708.209609
2	299.908566428	90	0	175	122741.857632
2	333.209681988	90	0	175	122774.775478
2	383.20314264	90	0	175	122825.097372
2	416.545605646	90	0	175	122858.34629
2	449.883376743	90	0	175	122891.678196
2	483.195049098	90	0	175	122925.00805
2	516.510826872	89	0	175	122993.532204
2	583.153232461	88	0	175	123025.355661
2	616.492763024	87	0	175	123058.549743
2	649.807367822	86	0	175	123092.041467
2	683.120213153	85	0	175	123125.176313
2	716.448600433	84	0	175	123158.267466
2	749.767310651	83	0	175	123191.552746
2	783.125315604	83	0	175	123225.173498
2	816.46983132	83	0	175	123258.367873
2	849.753938711	83	0	175	123291.444363
2	883.068543508	83	0	175	123324.891808
2	916.374644221	84	0	175	123358.502003
2	949.713001807	85	0	175	123391.764996
2	983.028193093	86	0	175	123430.413128
2	1016.36215201	87	0	175	123458.47954
2	1066.36822217	88	0	175	123508.480332
2	1099.69543647	89	0	175	123541.804027
2	1132.98980741	90	0	175	123575.001041
2	1166.32112714	91	0	175	123608.463148
2	1199.63250625	92	0	175	123641.766023
2	1232.94857727	93	0	175	123674.836062
2	1266.27872401	94	0	175	123708.419278
2	1299.61150996	95	0	175	123741.698401
2	1332.93960399	96	0	175	123775.051127
2	1366.2357344	97	0	175	123808.331716
2	1399.56177572	98	0	175	123841.739279
2	1432.91362255	99	0	175	123875.092005
2	1466.22236246	100	0	175	123911.171317
2	1516.19822845	101	0	175	123958.316789
2	1549.54714283	102	0	175	124007.358086
2	1599.48957898	103	0	175	124041.620456
2	1632.84963664	104	0	175	124080.444535
2	1666.12377373	105	0	175	124107.944692
2	1699.50494498	106	0	175	124141.646672
2	1732.78699966	107	0	175	124174.851604
2	1766.12623698	108	0	175	124208.386728
2	1799.44641342	109	0	175	124241.520988
2	1849.45072411	110	0	175	124291.665469
2	1882.75447887	111	0	175	124325.063355
2	1916.05823363	112	0	175	124358.148643
2	1949.39864392	113	0	175	124391.425713
2	1999.39415728	114	0	175	124441.565209
2	2032.70846884	115	0	175	124474.829962
2	2066.03451016	116	0	175	124515.253689
2	2099.35585958	117	0	175	124545.960472
2	2132.67515628	118	0	175	124574.802808
2	2166.00354356	119	0	175	124608.227673
