trialnr	left_ang	right_ang	cue_dir	targ	targ_ang	resp_ang	perc_diff	resp_onset	resp_duration	iti	iti_onset	stim_onset	delay_onset	cue_onset	postcue_onset	probe_onset	prac
0	91	6	0	0	91	90	99.0	0	0	1606	96897.0117233	99112.7292657	100195.742034	101245.406181	101811.895514	102878.228253	1
1	72	40	1	1	40	66	71.0	99.9587698516	2482.57483741	1454	105993.922219	107526.761475	108593.099493	109642.739301	110209.237723	111258.927676	1
2	111	175	1	1	175	153	76.0	516.510826872	4215.33573833	1646	116973.841729	118706.544568	119772.899594	120822.542334	121389.065683	122438.702265	1
3	6	30	-1	1	30	34	96.0	883.0201582	3582.23713728	1482	129519.807186	131069.29568	132135.641909	133185.290514	133735.141751	134784.829945	1
4	156	141	0	0	156	156	100.0	416.517454194	4048.73544262	1654	141566.00372	143298.784268	144348.451348	145431.426581	145981.254945	147030.930235	1
5	60	156	-1	1	156	129	70.0	933.025348623	2999.05780608	1410	154012.062311	155494.919249	156544.590728	157610.904993	158160.74714	159210.405422	1
6	120	138	-1	0	120	116	96.0	1132.972506	1666.12348048	1338	165858.316379	167307.851968	168357.519927	169407.175864	169957.015665	171006.699752	1
7	33	19	1	1	19	26	92.0	483.18566528	2715.79701161	1298	176521.609759	177887.847546	178954.162984	179987.14505	180537.001272	181603.323162	1
8	166	51	-1	1	51	58	92.0	916.376403687	3165.65106392	1662	187334.844812	189067.61451	190133.96895	191183.608172	191750.125069	192799.782178	1
0	52	9	0	0	52	47	94.0	383.202556152	2665.83932676	1390	248932.054417	250914.746552	251964.417737	253030.71822	253580.56887	254630.230672	0
1	153	1	-1	0	153	164	88.0	966.334968268	3748.83068837	1638	260511.697515	262211.176654	263294.154527	264343.822486	264893.650264	265943.334059	0
2	172	39	0	0	172	168	96.0	399.883171473	3815.44347628	1270	273041.065345	274373.982369	275456.98634	276506.640224	277073.136301	278122.811298	0
3	27	153	0	0	27	27	100.0	633.122353837	3498.88156625	1354	284920.63607	286336.874356	287419.860439	288469.521947	289019.363507	290069.03352	0
4	0	132	1	1	132	143	88.0	283.232349772	2932.41188155	1502	296716.923656	298283.088367	299349.434009	300432.401618	301032.212299	302081.903425	0
5	148	94	0	0	148	128	78.0	449.842029297	2682.48533925	1342	307946.701969	309346.266091	310429.263904	311478.911043	312045.42706	313095.092088	0
6	106	168	0	0	106	113	92.0	299.892731236	999.705875971	1618	318809.919633	320509.397893	321575.717437	322625.387156	323208.553584	324258.207175	0
7	147	114	-1	0	147	121	71.0	1016.34866278	1082.98960214	1470	328073.669712	329623.186944	330672.855197	331722.49823	332289.023925	333338.666958	0
8	24	55	1	1	55	64	90.0	333.217013096	2082.67934968	1610	338120.493788	339786.636916	340869.63297	341935.936092	342485.790261	343535.454408	0
9	114	147	1	1	147	117	67.0	349.872995895	1999.35691526	1670	348383.913967	350116.68953	351166.361008	352232.689349	352782.525338	353832.201801	0
10	33	19	1	1	19	29	89.0	533.147162304	2565.86032305	1298	364412.190635	365778.414639	366828.085824	367894.400676	368460.89558	369510.576735	0
11	156	141	0	0	156	154	98.0	383.193465579	2582.51220043	1654	375375.362963	377091.50571	378141.189211	379190.828433	379757.321577	380807.003319	0
12	37	103	1	1	103	107	96.0	566.476429317	599.82211801	1478	386471.85236	388038.03965	389104.375322	390154.050613	390703.864315	391753.539019	0
13	169	36	-1	0	169	147	76.0	816.387136429	3515.55015856	1614	395435.682435	397118.505005	398168.167686	399217.837112	399784.300052	400850.668861	0
14	73	63	0	0	73	119	49.0	283.249064697	1066.32863419	1450	407548.518149	409064.709046	410131.067884	411197.352532	411747.217258	412796.871728	0
15	75	151	0	0	75	69	93.0	299.910325894	733.093146705	1678	416695.639105	418445.062734	419494.765589	420544.413022	421094.241679	422143.926647	0
16	70	42	-1	1	42	66	73.0	583.137690513	2599.18724411	1254	426026.021619	427358.937177	428408.597805	429458.268697	430008.099114	431057.760329	0
17	96	136	1	1	136	118	80.0	466.520005419	999.686521847	1706	436855.925851	438622.030095	439688.383069	440738.005575	441304.545345	442354.186326	0
18	139	27	-1	0	139	136	97.0	699.772090533	1832.7410776	1458	446386.249658	447902.423254	448952.111447	450001.760639	450551.594281	451617.934059	0
19	43	70	0	0	43	54	88.0	499.809977696	2432.58401596	1366	456699.640424	458132.534399	459198.853356	460248.520143	460798.366981	461848.037873	0
20	31	66	0	0	31	45	84.0	333.228449623	2749.13331648	1294	497753.311461	499186.2157	500252.531725	501302.198218	501852.04271	502901.69982	0
21	160	48	1	1	48	59	88.0	416.522146103	3165.68859919	1718	508633.219124	510449.319761	511515.655433	512565.302279	513131.807446	514181.458691	0
22	123	13	0	0	123	121	98.0	599.819185567	1132.98013035	1426	520312.864099	521829.055583	522878.722956	523945.03253	524494.879661	525544.528853	0
23	16	139	1	1	139	125	84.0	466.503876983	2649.16457632	1382	530193.069992	531642.611739	532692.288203	533741.91892	534291.766052	535358.111401	0
24	58	100	0	0	58	63	94.0	699.782060839	1016.33253434	1246	540989.656394	542305.909811	543355.583342	544421.892915	544971.727438	546021.390119	0
25	136	45	-1	0	136	118	80.0	899.701066764	1466.20506104	1578	550336.677589	551986.147433	553052.496007	554102.16602	554651.991745	555718.339146	0
26	15	105	0	0	15	35	78.0	533.141004174	3482.23731323	1702	560716.765598	562466.185707	563515.861584	564565.51928	565115.359374	566165.034664	0
27	13	81	-1	0	13	30	81.0	883.0406853	2532.51844653	1434	572696.288055	574195.819157	575262.156882	576311.805488	576861.628866	577911.319113	0
28	6	30	-1	1	30	33	97.0	849.712884509	2016.03430489	1482	583859.421617	585425.591606	586508.599682	587558.246528	588124.74847	589174.407045	0
29	138	126	-1	0	138	134	96.0	883.04684343	2499.21439853	1686	594622.689015	596372.143434	597438.442744	598488.125365	599037.959594	600104.289695	0
30	112	12	1	1	12	22	89.0	366.558303124	2499.21879719	1418	615099.546762	616615.737366	617665.385678	618715.054224	619264.899303	620314.547028	0
31	115	18	-1	1	18	41	74.0	833.034028655	2732.4867175	1590	625812.803691	627512.293974	628561.959587	629611.608193	630161.454445	631211.129442	0
32	111	175	1	1	175	156	79.0	299.902115054	4198.69207179	1646	637259.180453	638991.989739	640058.294034	641107.97255	641657.800328	642724.131308	0
33	175	159	-1	1	159	167	91.0	949.683677377	3298.96138735	1362	649605.291711	651054.822021	652104.505229	653154.160873	653704.007711	654753.673911	0
34	93	162	-1	1	162	152	89.0	816.38039181	4148.70154358	1386	661651.477394	663101.022953	664167.350121	665217.012216	665766.853776	666849.855108	0
35	79	174	0	0	79	73	93.0	283.217687558	683.113468534	1414	673964.252054	675447.120429	676496.777832	677546.436701	678112.943041	679162.620677	0
36	39	166	1	1	166	159	92.0	666.436958634	3065.70021166	1490	682778.113771	684327.644785	685377.319782	686426.966335	686976.808188	688026.484652	0
37	67	93	-1	0	67	65	98.0	999.650159554	833.076842322	1266	694607.725345	695957.297179	697006.973643	698039.958934	698606.450905	699656.138219	0
38	109	115	0	0	109	106	97.0	849.719629128	2365.9014359	1690	704121.382612	705870.830286	706920.502351	707970.136881	708519.967591	709569.666341	0
39	129	61	1	1	61	70	90.0	533.135139288	1766.11098827	1634	715167.885879	716867.330122	717933.677231	718999.995308	719549.850064	720599.50864	0
40	22	75	0	0	22	36	84.0	349.892056774	2265.97550941	1714	738910.366948	740693.145063	741742.83091	742809.132859	743358.952133	744408.621265	0
41	81	69	1	1	69	68	99.0	499.835783194	783.077223539	1334	749457.038831	750873.256003	751939.560298	752989.255529	753539.068351	754588.756544	0
42	157	177	1	1	177	169	91.0	833.054849	2799.12267171	1550	758587.498526	760220.287755	761286.638089	762336.277017	762886.129134	763935.795627	0
43	102	144	-1	0	102	111	90.0	516.500563322	733.097838614	1698	770050.545053	771816.619679	772882.982623	773949.277241	774515.788566	775582.118667	0
44	42	157	-1	0	42	57	83.0	783.087193845	1382.89934155	1446	779280.920412	780813.787526	781863.471027	782913.082097	783462.94653	784529.25581	0
45	171	99	-1	0	171	142	68.0	883.0406853	1832.7489952	1674	789144.460938	790893.933245	791976.938096	793026.552098	793576.421223	794626.092702	0
46	85	4	1	1	4	26	76.0	583.151179751	2299.27691821	1346	799824.438452	801257.320404	802323.657249	803389.949228	803956.469937	805006.120302	0
47	25	7	-1	0	25	28	97.0	849.704966913	2199.30436588	1350	810537.71063	811970.596688	813020.267873	814086.535219	814653.086132	815702.755851	0
48	49	106	-1	1	106	119	86.0	783.091885754	1666.12993186	1650	821267.657559	822983.769515	824033.463866	825083.09693	825632.921775	826682.600291	0
49	120	138	-1	0	120	115	94.0	883.039219079	1982.71295547	1338	831647.700114	833047.233445	834113.610758	835163.239716	835713.09154	836746.098825	0
50	60	156	-1	1	156	129	70.0	716.448307189	2032.67415925	1410	847359.423669	848842.267412	849908.58373	850958.238786	851491.438733	852541.075022	0
51	100	54	-1	1	54	57	97.0	1382.92016189	2382.57472011	1302	857839.403002	859205.662782	860255.322531	861304.985798	861854.808591	862904.459835	0
52	151	97	0	0	151	126	72.0	383.1949318	1216.29933909	1630	869085.839937	870801.991187	871868.322461	872934.632034	873501.132803	874550.803988	0
53	51	120	1	1	120	123	97.0	366.52663274	1149.6542943	1682	878549.541571	880298.968718	881348.655152	882398.28411	882948.151769	883997.812691	0
54	28	60	1	1	60	64	96.0	599.804523352	933.04352977	1406	887896.568338	889379.439939	890429.119921	891478.739202	892028.590439	893061.612973	0
55	54	37	1	1	37	54	81.0	399.853260555	1299.62148026	1514	897076.989237	898659.835736	899726.161145	900775.815908	901325.649551	902375.333932	0
56	10	91	1	1	91	98	92.0	466.491560722	399.886103915	1574	906490.699171	908123.486933	909189.842839	910239.469157	910789.344441	911839.008881	0
57	150	85	0	0	150	116	62.0	316.56396274	949.691888218	1510	915204.610621	916787.439232	917837.098101	918886.743188	919436.609674	920502.935669	0
58	144	43	0	0	144	129	83.0	349.888244598	1866.06799866	1462	924218.414803	925751.269015	926800.939907	927867.22602	928400.427433	929450.106536	0
59	142	84	-1	1	84	77	92.0	849.699688515	699.796136565	1278	934115.302191	935448.196342	936497.876618	937547.509388	938097.365024	939147.034157	0
60	168	112	-1	0	168	137	66.0	749.786078286	1916.05060927	1626	961839.846387	963522.631715	964588.981756	965655.292502	966205.135822	967254.783841	0
61	127	118	0	0	127	128	99.0	316.570414114	1816.09213267	1486	972269.889441	973819.396116	974869.052932	975918.727343	976468.547496	977534.876717	0
62	88	165	1	1	165	151	84.0	316.559564075	2232.61603823	1322	982066.801637	983449.677812	984516.023162	985582.331269	986132.177521	987198.496185	0
63	69	10	0	0	69	70	99.0	116.593345818	1066.34974778	1498	992263.551552	993829.729165	994879.400057	995912.388281	996478.88993	997528.572551	0
64	165	78	0	0	165	146	79.0	233.257656755	2032.68324983	1522	1001194.05823	1002776.89827	1003843.21312	1004892.88959	1005442.69655	1006509.05714	0
65	63	148	0	0	63	62	99.0	249.954107268	966.318253343	1378	1011224.22104	1012673.7449	1013740.09817	1014806.41185	1015356.25341	1016389.26157	0
66	91	6	0	0	91	94	97.0	299.900355588	966.368984607	1606	1020071.44868	1021737.5399	1022787.22311	1023836.89107	1024386.72735	1025436.39121	0
67	72	40	1	1	40	68	69.0	349.879154025	1582.83125022	1454	1029368.49547	1030884.67259	1031951.0065	1033000.64045	1033550.4908	1034600.16756	0
68	76	52	0	0	76	75	99.0	716.420155736	1266.25321176	1438	1039331.99418	1040848.19007	1041897.8592	1042964.16408	1043530.67394	1044580.35275	0
69	121	127	-1	0	121	115	93.0	666.45719249	883.06179889	1566	1049378.82413	1051011.63154	1052061.29715	1053110.96628	1053660.80491	1054710.45938	0
70	34	123	-1	0	34	49	83.0	849.718162907	2549.19964834	1326	1065873.59118	1067323.15111	1068372.81819	1069422.47178	1069972.31246	1071038.63992	0
71	99	25	-1	0	99	113	84.0	899.689630237	816.437281203	1290	1076953.40964	1078286.31933	1079336.0128	1080402.32414	1080952.16599	1082001.83923	0
72	9	22	1	1	22	27	94.0	383.201969663	2265.93474845	1658	1086283.78863	1087999.93226	1089049.6143	1090099.26261	1090665.73259	1091715.43075	0
73	57	117	-1	1	117	116	99.0	949.666669207	2066.02366012	1518	1096830.48837	1098413.28561	1099462.98055	1100512.63179	1101062.45605	1102112.15861	0
74	166	51	-1	1	51	63	87.0	1649.47834772	2299.27721146	1662	1107743.68015	1109476.46539	1110526.15387	1111575.7755	1112125.63671	1113191.9539	0
75	133	145	0	0	133	118	83.0	266.583404836	1049.64772563	1582	1119539.95893	1121189.43758	1122255.77207	1123305.40514	1123905.2296	1124971.57407	0
76	135	163	1	1	163	154	90.0	283.224432176	2615.86404725	1598	1128853.66582	1130519.8066	1131569.49685	1132635.78384	1133185.63156	1134218.64002	0
77	177	24	0	0	177	171	93.0	266.552907429	3648.86634687	1402	1139516.97093	1140983.15781	1142049.50433	1143115.80335	1143682.3223	1144748.65621	0
78	84	16	0	0	84	76	91.0	499.834316973	1066.312799	1642	1151246.58268	1152946.04305	1153995.71482	1155045.38953	1155611.8856	1156661.55532	0
79	7	154	-1	1	154	158	96.0	1032.98411848	3165.70560736	1374	1160976.82637	1162409.73002	1163459.39094	1164509.03574	1165058.88961	1166125.21707	0
80	154	172	1	1	172	170	98.0	449.860796933	2849.10880126	1262	1183719.64584	1185102.54958	1186152.22575	1187218.51685	1187768.37073	1188818.0296	0
81	145	79	1	1	79	75	96.0	299.890971771	533.169155627	1466	1194649.52996	1196182.35983	1197248.69374	1198298.33678	1198848.19447	1199897.87269	0
82	19	57	-1	1	57	70	86.0	749.766137674	1082.99693325	1530	1203196.81912	1204796.32365	1205845.98956	1206895.62644	1207445.48501	1208511.79546	0
83	46	150	1	1	150	131	79.0	499.822587201	2215.96005543	1694	1212977.04748	1214743.15553	1215809.49912	1216859.13658	1217408.98459	1218458.67484	0
84	12	0	0	0	12	19	92.0	383.200796687	3948.75321322	1534	1223873.61845	1225489.77281	1226539.44517	1227589.09055	1228155.56903	1229205.26632	0
85	87	171	1	1	171	159	87.0	766.399540663	2565.87439878	1394	1235953.10848	1237402.6728	1238452.34428	1239518.65415	1240068.47518	1241134.82669	0
86	178	31	0	0	178	167	88.0	349.883845935	2799.11768656	1666	1247366.18119	1249098.96878	1250165.28979	1251214.94279	1251748.14831	1252797.78401	0
87	55	64	0	0	55	64	90.0	0.0	1582.81688125	1306	1258412.68827	1259778.90289	1260828.59636	1261878.23265	1262428.07187	1263494.41722	0
88	3	111	1	1	111	114	97.0	433.203347911	883.053001561	1358	1267526.47527	1268959.34139	1270009.02313	1271058.67349	1271608.50948	1272674.84251	0
89	40	142	0	0	40	56	82.0	316.542555905	1282.92796219	1330	1276473.63851	1277889.85128	1278956.20133	1280005.8294	1280555.68328	1281605.35446	0
90	97	88	1	1	88	86	98.0	383.211646725	549.831296556	1274	1292868.47055	1294201.34593	1295251.05143	1296300.68508	1296867.19259	1297916.85967	0
91	130	49	-1	1	49	60	88.0	783.084261403	1116.31798942	1602	1301415.73097	1303098.56058	1304148.22561	1305197.86278	1305764.38906	1306814.03297	0
92	82	28	0	0	82	70	87.0	216.598741513	716.4271936	1318	1311212.6634	1312595.55629	1313645.2005	1314694.87491	1315244.71119	1316294.37123	0
93	48	15	-1	0	48	46	98.0	766.417721808	2915.74006356	1398	1319843.27412	1321309.44898	1322375.79198	1323425.44352	1323975.28948	1325024.95773	0
94	66	90	1	1	90	92	98.0	366.515782702	83.3438412535	1442	1331039.73372	1332539.23726	1333588.90551	1334638.5591	1335205.05753	1336254.73458	0
95	45	178	1	1	178	174	96.0	399.878772808	3432.23446876	1622	1339053.87015	1340736.65137	1341786.31054	1342835.96764	1343385.8092	1344435.46455	0
